id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,PIPELINE_NOT_IMPLEMENTED,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,PIPELINE_NOT_IMPLEMENTED,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,PIPELINE_NOT_IMPLEMENTED,"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,PIPELINE_NOT_IMPLEMENTED,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,PIPELINE_NOT_IMPLEMENTED,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,PIPELINE_NOT_IMPLEMENTED,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,PIPELINE_NOT_IMPLEMENTED,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,PIPELINE_NOT_IMPLEMENTED,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,PIPELINE_NOT_IMPLEMENTED,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,,No expected sources,1,Content coverage: 0.00%,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",PIPELINE_NOT_IMPLEMENTED,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,Abstain check: high score if correctly admitted ignorance.,1,Query keyword overlap: 0.00%,1,Found 0/1 expected sources.,1,Content coverage: 0.00%,baseline_dense
